payment_id,order_id,payment_date,payment_method,payment_status,amount_paid,transaction_fee,refund_amount
PAY1000046,ORD1000046,10/13/2025,UPI,Refunded,13012.65,0,13012.65
PAY1000047,ORD1000047,11/23/2023,UPI,Success,10834.95,0,0
PAY1000048,ORD1000048,7/17/2025,,,5835.38,,0
PAY1000049,ORD1000049,,Net Banking,,20771.73,0,0
,ORD1000050,11/2/2025,Debit Card,Refunded,17994.06,0,
PAY1000051,ORD1000051,8/21/2023,Cash on Delivery,Success,9690.98,,0
PAY1000052,ORD1000052,4/23/2025,Credit Card,Success,197127,2956.9,0
PAY1000053,ORD1000053,7/26/2023,,Success,14193.9,0,0
PAY1000054,ORD1000054,1/1/2025,,Failed,0,0,0
PAY1000055,ORD1000055,11/3/2024,Cash on Delivery,Success,25840.5,0,0
PAY1000056,ORD1000056,,,Failed,,0,0
PAY1000057,ORD1000057,5/2/2025,UPI,Failed,0,0,0
PAY1000058,ORD1000058,6/25/2025,,Success,5247.9,26.24,0
PAY1000059,ORD1000059,8/22/2023,,Success,12605.99,0,0
PAY1000060,ORD1000060,9/18/2024,Cash on Delivery,Not Charged,0,0,0
PAY1000061,ORD1000061,6/6/2023,UPI,Refunded,1224.4,0,1224.4
PAY1000062,ORD1000062,,UPI,Success,297377.85,0,0
PAY1000063,ORD1000063,10/16/2025,UPI,Success,15390.48,0,0
PAY1000064,ORD1000064,3/2/2024,Cash on Delivery,Refunded,5417.37,0,5417.37
PAY1000065,ORD1000065,12/4/2024,UPI,Success,11644.29,0,0
PAY1000066,ORD1000066,,Cash on Delivery,,76293,0,0
PAY1000067,ORD1000067,,UPI,Failed,0,0,0
PAY1000068,ORD1000068,11/7/2025,Wallet,Success,4063.5,20.32,
PAY1000069,ORD1000069,11/3/2024,UPI,Success,59069.12,0,0
PAY1000070,ORD1000070,6/27/2024,,Success,,0,0
PAY1000071,ORD1000071,2/2/2025,Net Banking,Refunded,31215.35,0,31215.35
PAY1000072,ORD1000072,7/2/2023,EMI,Success,1853.67,27.81,0
PAY1000073,ORD1000073,9/2/2025,Wallet,,827.4,4.14,827.4
PAY1000074,ORD1000074,11/2/2023,,Success,,0,0
PAY1000075,ORD1000075,10/26/2025,Cardless EMI,Success,1918.35,,0
PAY1000076,ORD1000076,8/10/2025,,Success,40477.87,0,0
,ORD1000077,,Net Banking,Success,798,0,
PAY1000078,ORD1000078,4/5/2025,Cash on Delivery,Success,4681.84,0,0
PAY1000079,ORD1000079,10/28/2024,Cash on Delivery,Success,9570.54,0,
PAY1000080,ORD1000080,,,Success,9019.29,0,0
PAY1000081,ORD1000081,2/22/2023,Credit Card,Refunded,34612.25,,
PAY1000082,ORD1000082,12/2/2024,,Success,,87.65,
PAY1000083,ORD1000083,,Debit Card,,27858.7,0,0
,ORD1000084,,Debit Card,Success,52777.3,0,0
PAY1000085,ORD1000085,,Net Banking,Success,7834.31,0,0
PAY1000086,ORD1000086,11/24/2025,,Success,231.78,0,
PAY1000087,ORD1000087,6/18/2025,,Success,5175.14,0,0
PAY1000088,ORD1000088,2/15/2024,,Failed,0,0,
,ORD1000089,12/9/2025,UPI,Refunded,609,0,609
PAY1000090,ORD1000090,12/1/2024,UPI,Success,6224.72,0,0
PAY1000091,ORD1000091,11/2/2025,,Success,16949.52,0,0
PAY1000092,ORD1000092,11/1/2025,UPI,Refunded,32033.19,0,
PAY1000093,ORD1000093,11/22/2025,,Success,18720.45,,0
PAY1000094,ORD1000094,4/20/2024,,Success,1733.45,26,0
PAY1000095,ORD1000095,5/30/2023,Cash on Delivery,Success,13159.12,0,0
PAY1000096,ORD1000096,7/25/2023,UPI,Success,281,0,0
PAY1000097,ORD1000097,11/5/2023,UPI,Success,30670.71,0,0
PAY1000098,ORD1000098,9/29/2025,,Success,5664.86,28.32,0
PAY1000099,ORD1000099,3/20/2023,,Success,3620.92,54.31,0
PAY1000100,ORD1000100,9/30/2023,UPI,,4374.77,0,0
PAY1000101,ORD1000101,,Cash on Delivery,,4453.68,0,0
PAY1000102,ORD1000102,3/11/2025,Net Banking,Success,2542.94,0,0
PAY1000103,ORD1000103,,UPI,Success,6035.14,0,0
PAY1000104,ORD1000104,12/5/2025,UPI,,248598,0,0
PAY1000105,ORD1000105,8/6/2025,Credit Card,Success,6568.01,,0
,ORD1000106,4/17/2025,,,,0,3970.31
PAY1000107,ORD1000107,,,Success,,0,0
,ORD1000108,,Cash on Delivery,Success,2124.15,0,0
PAY1000109,ORD1000109,,,Refunded,9675.38,0,9675.38
PAY1000110,ORD1000110,2/26/2024,Credit Card,Success,3204.6,48.07,0
,ORD1000111,10/6/2025,Wallet,Success,5440.26,27.2,
PAY1000112,ORD1000112,11/24/2025,,Refunded,13125,0,13125
PAY1000113,ORD1000113,8/5/2023,UPI,Failed,0,0,0
PAY1000114,ORD1000114,3/31/2025,Debit Card,Success,2724.75,0,0
,ORD1000115,12/20/2025,Credit Card,Success,2239.65,33.59,0
PAY1000116,ORD1000116,9/14/2025,,,5917.28,0,
,ORD1000117,,Cash on Delivery,Success,8652,0,
PAY1000118,ORD1000118,2/28/2025,UPI,Success,35784.05,0,
PAY1000119,ORD1000119,10/14/2025,Credit Card,Success,114144.66,1712.17,
PAY1000120,ORD1000120,8/26/2025,,Failed,0,0,
PAY1000121,ORD1000121,3/14/2025,Pay Later,Success,14550.48,0,
PAY1000122,ORD1000122,11/21/2024,Net Banking,Success,38878.14,0,0
PAY1000123,ORD1000123,,,Success,6700.37,0,0
PAY1000124,ORD1000124,5/19/2024,Cash on Delivery,Success,62357.4,0,0
PAY1000125,ORD1000125,11/9/2023,Cash on Delivery,Success,23466.24,0,0
PAY1000126,ORD1000126,11/26/2025,,Success,18718.25,93.59,0
PAY1000127,ORD1000127,4/21/2025,Credit Card,Success,,1479.86,0
PAY1000128,ORD1000128,12/28/2025,UPI,Success,8577.14,0,
PAY1000129,ORD1000129,7/7/2025,,Success,,0,0
PAY1000130,ORD1000130,4/14/2024,,Success,48289.5,0,0
PAY1000131,ORD1000131,9/26/2023,,Success,10956.33,0,
PAY1000132,ORD1000132,1/25/2025,,Success,21480.69,107.4,0
PAY1000133,ORD1000133,8/26/2023,,Refunded,5447.3,,5447.3
PAY1000134,ORD1000134,8/13/2024,,,50803.41,254.02,0
,ORD1000135,4/16/2023,,Success,86423.72,0,
PAY1000136,ORD1000136,4/25/2025,UPI,Success,7787.01,0,0
PAY1000137,ORD1000137,8/16/2023,Debit Card,Success,17902.71,0,
PAY1000138,ORD1000138,11/14/2023,Net Banking,Success,,0,
PAY1000139,ORD1000139,12/26/2025,Net Banking,Success,553,0,0
PAY1000140,ORD1000140,,EMI,Success,,143,0
PAY1000141,ORD1000141,12/26/2024,Net Banking,Success,2456.37,0,0
,ORD1000142,11/26/2025,Cash on Delivery,Success,36340.5,0,0
PAY1000143,ORD1000143,10/25/2025,,Success,,36.68,
PAY1000144,ORD1000144,,,Success,,0,
PAY1000145,ORD1000145,4/22/2023,,Failed,0,0,0
PAY1000146,ORD1000146,2/7/2025,,Success,8046.15,40.23,0
,,10/30/2025,,Success,2436,,0
PAY1000148,ORD1000148,7/17/2025,Debit Card,Success,,0,0
PAY1000149,ORD1000149,11/1/2025,Debit Card,Success,8615.25,0,0
PAY1000150,ORD1000150,,Wallet,Refunded,10122,50.61,10122
PAY1000151,ORD1000151,2/21/2023,UPI,Success,13121.01,,0
PAY1000152,ORD1000152,11/14/2025,Cash on Delivery,Success,5040,0,0
PAY1000153,ORD1000153,11/3/2024,,Success,10384.08,155.76,0
PAY1000154,ORD1000154,3/25/2025,UPI,Refunded,14168.23,0,
PAY1000155,ORD1000155,12/14/2025,UPI,,558.5,0,0
,ORD1000156,2/11/2024,,Success,16895.97,,0
PAY1000157,ORD1000157,4/22/2024,UPI,Success,37936.5,0,0
PAY1000158,ORD1000158,,,Refunded,26396.37,0,26396.37
,ORD1000159,,Net Banking,Refunded,11156.25,0,11156.25
PAY1000160,ORD1000160,9/30/2025,UPI,Success,6041.7,0,0
,ORD1000161,6/10/2024,,,4903.5,0,0
PAY1000162,ORD1000162,,,Success,21854.7,327.82,0
PAY1000163,,,,Success,,0,0
PAY1000164,,11/4/2023,Cash on Delivery,Success,63841.89,0,0
PAY1000165,ORD1000165,10/26/2024,,Success,59772.25,896.58,0
PAY1000166,ORD1000166,11/5/2025,UPI,Refunded,1142.24,0,1142.24
PAY1000167,ORD1000167,12/22/2023,,Refunded,5246.85,0,5246.85
PAY1000168,ORD1000168,11/17/2025,,Success,12945.56,0,0
,ORD1000169,7/1/2023,,Failed,0,0,0
PAY1000170,ORD1000170,,Net Banking,Success,879.06,0,0
PAY1000171,ORD1000171,1/26/2024,Wallet,Success,35656,178.28,0
PAY1000172,ORD1000172,8/15/2024,EMI,Success,4084.66,61.27,0
PAY1000173,ORD1000173,9/19/2025,,Refunded,7544.25,,7544.25
PAY1000174,ORD1000174,12/2/2024,,Success,5096.7,0,0
PAY1000175,ORD1000175,4/3/2023,Credit Card,Success,19068.21,286.02,0
PAY1000176,ORD1000176,3/8/2025,,,31488.66,0,0
,ORD1000177,11/25/2025,Debit Card,Success,38906.12,0,0
PAY1000178,ORD1000178,5/6/2025,Net Banking,Success,41201.84,0,0
PAY1000179,ORD1000179,12/31/2024,Credit Card,,22407.74,336.12,0
PAY1000180,ORD1000180,12/13/2025,Cash on Delivery,,16989.42,0,0
PAY1000181,ORD1000181,12/5/2025,UPI,Success,1653.28,0,0
PAY1000182,ORD1000182,10/6/2025,,Success,11231.96,0,0
PAY1000183,ORD1000183,5/25/2025,Net Banking,Success,,0,0
,ORD1000184,9/15/2023,,Success,,0,0
PAY1000185,ORD1000185,5/17/2024,,Success,2247,0,0
,ORD1000186,4/28/2024,Wallet,,65884.88,329.42,
PAY1000187,ORD1000187,2/2/2025,Net Banking,Success,1987.96,0,0
PAY1000188,ORD1000188,,,Success,6520.5,0,0
PAY1000189,ORD1000189,10/23/2025,,Success,,0,0
PAY1000190,ORD1000190,9/28/2025,EMI,Success,4868.43,,
PAY1000191,ORD1000191,8/6/2023,Debit Card,Refunded,50808.03,0,50808.03
PAY1000192,ORD1000192,2/12/2024,Credit Card,Refunded,14011.2,210.17,14011.2
PAY1000193,ORD1000193,,Net Banking,Success,26622.12,0,0
PAY1000194,ORD1000194,11/24/2023,Debit Card,Success,8952.3,0,0
PAY1000195,ORD1000195,12/25/2025,,Success,3929,19.64,0
,ORD1000196,11/10/2025,Credit Card,Refunded,3226.86,48.4,3226.86
PAY1000197,ORD1000197,7/10/2023,,Success,19517.4,0,0
PAY1000198,ORD1000198,,,Refunded,4389,0,4389
,ORD1000199,12/13/2024,,Failed,0,0,0
PAY1000200,ORD1000200,6/21/2024,,Success,9440.97,141.61,0
PAY1000201,ORD1000201,8/12/2023,Net Banking,Success,36151.13,,
PAY1000202,ORD1000202,4/12/2025,,Failed,0,0,0
,ORD1000203,4/18/2025,,Success,5853.86,,0
,ORD1000204,8/23/2024,Debit Card,Refunded,4603.52,0,4603.52
PAY1000205,ORD1000205,10/9/2025,Pay Later,Success,1667.82,0,0
PAY1000206,ORD1000206,7/8/2025,EMI,Success,2106.93,31.6,0
PAY1000207,ORD1000207,12/27/2025,,Success,173241.81,0,0
PAY1000208,ORD1000208,12/24/2023,Wallet,Success,,106.36,0
,ORD1000209,3/6/2023,Gift Card,Success,181573.88,0,0
PAY1000210,ORD1000210,9/4/2025,,Failed,0,0,0
PAY1000211,ORD1000211,,Credit Card,Success,30912,463.68,0
PAY1000212,ORD1000212,11/2/2024,Cash on Delivery,Success,17564.4,0,
PAY1000213,ORD1000213,8/28/2025,Debit Card,Success,579.6,0,0
PAY1000214,ORD1000214,9/28/2024,Debit Card,Success,11275.11,0,
PAY1000215,ORD1000215,11/5/2025,Debit Card,,1648.5,0,
PAY1000216,ORD1000216,6/3/2023,,Success,2118.06,0,
PAY1000217,ORD1000217,,,Success,,0,0
PAY1000218,ORD1000218,11/8/2025,Credit Card,Success,3434.29,51.51,0
PAY1000219,ORD1000219,11/19/2025,,Success,123.62,1.85,0
PAY1000220,ORD1000220,5/4/2024,UPI,Success,10789.54,0,0
PAY1000221,ORD1000221,,,Success,3806.78,57.1,
PAY1000222,ORD1000222,8/9/2024,,Success,22648.5,0,0
PAY1000223,ORD1000223,5/23/2024,,Success,307.56,0,0
PAY1000224,ORD1000224,,,Refunded,3486,0,3486
PAY1000225,ORD1000225,12/26/2025,,Success,5334.26,80.01,
PAY1000226,ORD1000226,9/13/2025,Credit Card,Success,11844,177.66,
PAY1000227,ORD1000227,,,Success,2602.32,0,
PAY1000228,ORD1000228,,Debit Card,Success,12649.77,0,0
PAY1000229,ORD1000229,12/23/2025,,Success,653.94,9.81,0
,ORD1000230,3/14/2025,Credit Card,Success,40462.38,606.94,0
PAY1000231,ORD1000231,8/17/2025,EMI,Refunded,26289.38,394.34,
PAY1000232,ORD1000232,,,Success,55449.14,277.25,0
PAY1000233,ORD1000233,10/17/2025,UPI,Failed,0,0,0
PAY1000234,ORD1000234,4/23/2023,,Success,1932,0,0
PAY1000235,ORD1000235,,,Success,1186.5,0,0
PAY1000236,ORD1000236,7/16/2024,UPI,Failed,0,0,
PAY1000237,ORD1000237,4/20/2025,Cash on Delivery,Success,14049.11,0,0
PAY1000238,ORD1000238,12/15/2024,Credit Card,Failed,0,0,0
PAY1000239,ORD1000239,6/19/2025,Credit Card,Success,630,9.45,0
PAY1000240,ORD1000240,,,Success,212989.77,0,
PAY1000241,ORD1000241,9/8/2025,Cash on Delivery,Success,,0,0
,ORD1000242,6/6/2024,Cash on Delivery,Success,4206.72,0,0
PAY1000243,ORD1000243,,,Success,8700.83,130.51,0
PAY1000244,ORD1000244,1/17/2025,,Success,,0,0
,ORD1000245,3/1/2024,,Success,19064.64,0,0
PAY1000246,ORD1000246,11/29/2025,Cash on Delivery,Not Charged,0,0,0
PAY1000247,ORD1000247,2/2/2023,,Success,20167.56,100.84,0
PAY1000248,ORD1000248,8/25/2025,Cardless EMI,Success,13716.99,205.75,0
PAY1000249,ORD1000249,5/26/2025,Wallet,Success,38887.43,194.44,0
PAY1000250,ORD1000250,11/16/2024,,Success,366.33,0,0
PAY1000251,ORD1000251,10/23/2025,Cash on Delivery,Success,9410.62,,0
PAY1000252,ORD1000252,,Debit Card,Success,,0,0
PAY1000253,ORD1000253,,Cash on Delivery,,23806.76,0,0
PAY1000254,ORD1000254,10/27/2025,,Success,2164.05,32.46,0
PAY1000255,ORD1000255,12/27/2025,Credit Card,Success,8287.65,124.31,0
PAY1000256,ORD1000256,6/10/2023,UPI,Success,28533.54,0,0
PAY1000257,ORD1000257,2/1/2024,Debit Card,Success,5122.53,0,0
PAY1000258,ORD1000258,12/26/2023,UPI,Failed,0,0,0
PAY1000259,ORD1000259,,,Success,51722.37,0,0
PAY1000260,ORD1000260,12/1/2025,,Success,11814.28,0,0
PAY1000261,ORD1000261,12/31/2025,,Success,21629.32,324.44,
PAY1000262,ORD1000262,,Gift Card,Success,11718,0,0
PAY1000263,ORD1000263,7/9/2025,,Failed,0,0,0
PAY1000264,ORD1000264,12/29/2025,,Success,14967.38,0,0
PAY1000265,ORD1000265,6/17/2024,,Success,2451.02,36.77,0
PAY1000266,ORD1000266,9/2/2025,Cash on Delivery,Success,3848.14,0,
PAY1000267,ORD1000267,6/15/2024,UPI,Success,3173.73,0,0
PAY1000268,ORD1000268,11/10/2023,,Success,4394.25,0,
PAY1000269,ORD1000269,,,Success,8069.78,0,0
PAY1000270,ORD1000270,11/22/2025,UPI,Success,12440.61,0,0
PAY1000271,ORD1000271,7/28/2024,,Success,49914.9,748.72,0
PAY1000272,ORD1000272,9/24/2023,,Success,10836,0,
PAY1000273,ORD1000273,,Credit Card,Success,763.88,11.46,0
PAY1000274,ORD1000274,6/9/2025,,,248.5,3.73,0
PAY1000275,ORD1000275,1/14/2024,UPI,Success,269.5,0,0
PAY1000276,ORD1000276,1/23/2025,Credit Card,Success,,1445.23,0
PAY1000277,ORD1000277,9/14/2025,Credit Card,Success,2388.75,35.83,
PAY1000278,ORD1000278,5/4/2023,UPI,Refunded,947.62,0,947.62
PAY1000279,ORD1000279,7/9/2023,,Refunded,5528.25,0,5528.25
PAY1000280,ORD1000280,3/28/2025,Pay Later,Success,,0,
,,2/24/2024,Cash on Delivery,Success,,0,0
PAY1000282,ORD1000282,7/1/2023,EMI,Refunded,1775.02,,1775.02
PAY1000283,ORD1000283,5/28/2023,Credit Card,Success,7395.99,110.94,0
PAY1000284,ORD1000284,,Wallet,Success,22794.35,,0
PAY1000285,ORD1000285,3/3/2023,UPI,Success,5331.38,0,0
PAY1000286,ORD1000286,11/29/2023,Cash on Delivery,Success,40451.67,0,
PAY1000287,ORD1000287,6/20/2024,,Success,139293,0,0
PAY1000288,ORD1000288,11/9/2023,,,20118,301.77,0
PAY1000289,ORD1000289,9/16/2024,,Refunded,10341.66,0,
PAY1000290,ORD1000290,4/6/2025,Debit Card,Success,,0,0
PAY1000291,ORD1000291,8/27/2025,Credit Card,Success,39275.36,589.13,0
PAY1000292,ORD1000292,,,Success,19014.56,0,0
PAY1000293,ORD1000293,4/22/2025,Net Banking,Success,12086.39,0,0
PAY1000294,ORD1000294,4/12/2025,Net Banking,Success,23195.34,0,0
PAY1000295,ORD1000295,4/29/2024,,Success,66078.23,0,0
PAY1000296,ORD1000296,10/26/2023,Credit Card,Success,2353.84,35.31,
PAY1000297,ORD1000297,,UPI,Failed,0,0,
PAY1000298,ORD1000298,12/22/2025,Wallet,Success,,81.61,0
PAY1000299,ORD1000299,5/21/2023,,Success,,114.28,0
PAY1000300,ORD1000300,10/30/2024,Net Banking,Refunded,8775.27,,8775.27
PAY1000301,ORD1000301,,Debit Card,Failed,0,0,0
PAY1000302,ORD1000302,4/6/2023,EMI,Success,68244.75,1023.67,
PAY1000303,ORD1000303,11/4/2023,,Success,,2939.8,
,ORD1000304,10/19/2025,UPI,,2194.5,0,0
PAY1000305,ORD1000305,1/19/2025,UPI,Success,1738.8,0,0
PAY1000306,ORD1000306,5/5/2023,Cash on Delivery,Success,,0,0
PAY1000307,ORD1000307,12/22/2025,,Success,1984.5,0,
PAY1000308,ORD1000308,7/25/2023,UPI,,,0,0
,ORD1000309,2/2/2023,,,3182.6,0,0
PAY1000310,ORD1000310,,,Success,24435.6,0,0
PAY1000311,ORD1000311,6/30/2025,Net Banking,Success,4103.61,0,0
,ORD1000312,11/16/2025,Cash on Delivery,Not Charged,0,0,0
PAY1000313,ORD1000313,5/11/2024,,Success,,0,
PAY1000314,,6/12/2023,,Success,57650.25,0,0
PAY1000315,ORD1000315,7/1/2023,,Success,23859.57,0,0
,ORD1000316,,UPI,Success,6451.83,0,0
,ORD1000317,,EMI,Refunded,19110,286.65,19110
PAY1000318,ORD1000318,12/8/2025,,Success,4073.42,20.37,0
PAY1000319,ORD1000319,11/22/2025,Cash on Delivery,Not Charged,0,0,0
PAY1000320,ORD1000320,3/3/2023,Debit Card,Refunded,5428.5,0,5428.5
,ORD1000321,,Debit Card,Success,,0,0
PAY1000322,ORD1000322,,,,1729.35,25.94,0
PAY1000323,ORD1000323,12/1/2025,UPI,Success,1137.15,0,
PAY1000324,ORD1000324,1/29/2025,,Success,71274,1069.11,0
PAY1000325,ORD1000325,12/28/2025,,,6274.28,,0
PAY1000326,ORD1000326,9/12/2025,UPI,Success,1044.22,0,0
PAY1000327,ORD1000327,11/11/2025,UPI,Success,5066.67,0,0
PAY1000328,ORD1000328,4/23/2023,,Success,48620.25,,
PAY1000329,ORD1000329,,UPI,Success,,0,0
PAY1000330,ORD1000330,10/1/2025,UPI,,5520.27,0,0
PAY1000331,ORD1000331,11/9/2025,Debit Card,,1923.7,,1923.7
PAY1000332,ORD1000332,,Net Banking,,9522.87,0,
PAY1000333,ORD1000333,12/9/2025,UPI,Refunded,18728.22,0,18728.22
PAY1000334,ORD1000334,10/31/2025,,Success,43974.94,659.62,0
PAY1000335,ORD1000335,6/3/2023,,Success,16545.16,82.73,0
PAY1000336,ORD1000336,6/8/2025,,Success,1294.07,0,
PAY1000337,ORD1000337,3/10/2025,,Success,28804.12,0,0
PAY1000338,ORD1000338,7/13/2024,UPI,Success,6777.44,0,0
PAY1000339,,11/5/2025,Debit Card,Success,,0,0
PAY1000340,ORD1000340,4/2/2025,Wallet,Failed,0,0,0
PAY1000341,ORD1000341,6/27/2023,Cash on Delivery,Success,14058.87,0,0
PAY1000342,ORD1000342,6/14/2023,,Success,21752.8,108.76,
PAY1000343,ORD1000343,11/20/2025,,Success,16377.59,,
PAY1000344,ORD1000344,12/24/2025,Credit Card,Success,7287.11,109.31,0
PAY1000345,ORD1000345,11/17/2023,Pay Later,Success,5471.55,0,0
PAY1000346,ORD1000346,,Net Banking,Success,29228.32,0,0
PAY1000347,ORD1000347,5/8/2023,,,5275.2,79.13,5275.2
PAY1000348,ORD1000348,12/4/2023,Credit Card,Success,2759.4,41.39,
PAY1000349,ORD1000349,,,Success,7309.58,0,
PAY1000350,ORD1000350,12/29/2024,Cash on Delivery,Success,,0,0
PAY1000351,ORD1000351,2/21/2025,Credit Card,Success,,4395.51,0
PAY1000352,ORD1000352,2/23/2025,Cash on Delivery,Success,811.76,0,0
PAY1000353,ORD1000353,,Cash on Delivery,,,0,0
PAY1000354,ORD1000354,10/26/2025,Credit Card,,2213.4,33.2,0
PAY1000355,ORD1000355,5/20/2025,,Success,,0,0
PAY1000356,ORD1000356,11/5/2023,Debit Card,Success,5371.48,0,
PAY1000357,ORD1000357,4/5/2025,Net Banking,Success,40389.3,0,0
PAY1000358,ORD1000358,1/11/2025,UPI,Success,121460.33,,0
PAY1000359,ORD1000359,5/6/2023,,Success,6761.53,0,0
PAY1000360,ORD1000360,10/14/2025,UPI,Success,17959.94,0,0
PAY1000361,ORD1000361,,,Success,,0,0
PAY1000362,ORD1000362,,Cash on Delivery,Not Charged,0,0,0
PAY1000363,ORD1000363,,Cash on Delivery,Success,,0,0
PAY1000364,ORD1000364,3/8/2024,Cash on Delivery,Success,30639,0,0
PAY1000365,ORD1000365,10/21/2025,,Success,14832.35,0,0
PAY1000366,ORD1000366,1/23/2025,Debit Card,Refunded,,0,
PAY1000367,ORD1000367,11/29/2025,Net Banking,Success,,0,
,ORD1000368,3/30/2023,Debit Card,Success,,0,0
PAY1000369,ORD1000369,8/7/2023,Debit Card,Success,8692.95,0,0
,ORD1000370,11/3/2024,,Refunded,13049.51,0,
PAY1000371,ORD1000371,,,Success,3869.46,0,0
PAY1000372,ORD1000372,5/14/2025,Debit Card,Success,1539.82,0,
PAY1000373,ORD1000373,9/10/2023,,Success,21268.28,0,
,ORD1000374,5/9/2025,,Success,1695.75,8.48,0
PAY1000375,ORD1000375,7/6/2024,Net Banking,Refunded,14702.26,0,14702.26
PAY1000376,ORD1000376,,Credit Card,,,184.18,0
PAY1000377,ORD1000377,12/3/2025,,Success,6953.62,104.3,0
PAY1000378,ORD1000378,,Credit Card,Success,40874.5,613.12,
PAY1000379,ORD1000379,10/30/2025,,Success,84328.97,1264.93,
PAY1000380,ORD1000380,9/13/2024,,Success,1690.5,0,0
,ORD1000381,9/22/2024,Net Banking,Success,314076.26,0,0
PAY1000382,ORD1000382,,UPI,Success,13146,0,0
PAY1000383,ORD1000383,2/29/2024,UPI,Success,8316,0,0
PAY1000384,ORD1000384,8/25/2024,Net Banking,Success,12163.1,,0
,ORD1000385,8/24/2024,UPI,,25830,0,
PAY1000386,ORD1000386,1/5/2025,,Refunded,65884.88,0,65884.88
PAY1000387,,,UPI,Success,40765.41,0,0
PAY1000388,ORD1000388,10/26/2024,,Success,28140.84,0,0
PAY1000389,ORD1000389,11/16/2025,Cash on Delivery,Success,156232.23,0,0
PAY1000390,ORD1000390,,UPI,Success,10992.45,0,0
PAY1000391,ORD1000391,4/13/2024,,Success,1421.33,0,0
PAY1000392,ORD1000392,6/18/2023,Cash on Delivery,Not Charged,0,0,0
PAY1000393,ORD1000393,10/7/2025,UPI,Success,17782.59,0,
PAY1000394,ORD1000394,,,Failed,0,0,0
PAY1000395,ORD1000395,,,Success,1464.75,0,0
PAY1000396,ORD1000396,7/11/2025,Cash on Delivery,Success,8656.41,0,0
PAY1000397,ORD1000397,9/1/2024,,Success,24336.16,365.04,0
PAY1000398,ORD1000398,3/9/2024,,Success,101926.12,0,0
,ORD1000399,11/2/2023,,Success,33970.55,0,0
PAY1000400,ORD1000400,4/27/2024,,Success,35126.91,0,0
PAY1000401,ORD1000401,3/8/2023,Debit Card,Success,1491,0,0
PAY1000402,ORD1000402,10/25/2025,,Success,5518.8,0,0
